maze_size,run,seed,p_intended,algorithm,solved,path_length,nodes_explored,iterations,converged,elapsed_time_s
20,1,20001,0.8,Value Iteration,True,145,746928,234,True,2.9261223000939935
20,1,20001,0.8,Policy Iteration,True,145,13404006,77,True,64.7884655999951
20,1,20001,0.9,Value Iteration,True,145,580944,182,True,3.624381999950856
20,1,20001,0.9,Policy Iteration,True,145,15679104,81,True,95.9334362000227
20,1,20001,1.0,Value Iteration,True,145,402192,126,True,2.4910305000375956
20,1,20001,1.0,Policy Iteration,True,145,2037294,180,True,12.215484600048512
20,2,20002,0.7,Value Iteration,True,405,1647072,516,True,10.048296900000423
20,2,20002,0.7,Policy Iteration,True,405,14576268,129,True,89.82128050015308
20,2,20002,0.8,Value Iteration,True,405,1347024,422,True,8.048805400030687
20,2,20002,0.8,Policy Iteration,True,405,15513918,122,True,94.90522260009311
20,2,20002,0.9,Value Iteration,True,405,1123584,352,True,6.862948300084099
20,2,20002,0.9,Policy Iteration,True,405,18946116,124,True,115.15886400011368
20,2,20002,1.0,Value Iteration,True,405,944832,296,True,5.629810800077394
20,2,20002,1.0,Policy Iteration,True,405,2683674,314,True,16.119846599875018
20,3,20003,0.7,Value Iteration,True,309,1171464,367,True,7.159939999924973
20,3,20003,0.7,Policy Iteration,True,309,12944358,99,True,79.62469130009413
20,3,20003,0.8,Value Iteration,True,309,948024,297,True,5.720112699782476
20,3,20003,0.8,Policy Iteration,True,309,13524504,106,True,82.93302439991385
20,3,20003,0.9,Value Iteration,True,309,775656,243,True,4.763871900038794
20,3,20003,0.9,Policy Iteration,True,309,19099332,110,True,117.23971130000427
20,3,20003,1.0,Value Iteration,True,309,638400,200,True,3.8568576998077333
20,3,20003,1.0,Policy Iteration,True,309,2273502,229,True,13.718504100106657
